,LSTM_Acc_AVG,Val_Acc_AVG,Timestep,Neurons,Dropout,Learning,difference
98,0.523010459,0.518044566,12,65,0.2,0.01,0.004965894
99,0.529877217,0.525748067,12,65,0.2,0.001,0.00412915
100,0.529968167,0.519786267,12,65,0.3,0.01,0.010181901
101,0.533515234,0.526998636,12,65,0.3,0.001,0.006516598
102,0.526512051,0.516603004,12,65,0.4,0.01,0.009909047
103,0.527557981,0.524606641,12,65,0.4,0.001,0.00295134
104,0.512824011,0.512423833,12,128,0.1,0.01,0.000400178
105,0.530923147,0.529236015,12,128,0.1,0.001,0.001687132
106,0.507503411,0.511696224,12,128,0.2,0.01,-0.004192813
107,0.529195089,0.52981355,12,128,0.2,0.001,-0.000618462
108,0.50095498,0.507830833,12,128,0.3,0.01,-0.006875853
109,0.533924511,0.526475672,12,128,0.3,0.001,0.007448839
110,0.508094588,0.506289226,12,128,0.4,0.01,0.001805363
111,0.531468849,0.524997725,12,128,0.4,0.001,0.006471124
112,0.526047359,0.521621128,48,8,0.1,0.01,0.004426231
113,0.525774135,0.523592898,48,8,0.1,0.001,0.002181237
114,0.52345173,0.518711293,48,8,0.2,0.01,0.004740438
115,0.529644809,0.520555555,48,8,0.2,0.001,0.009089254
116,0.526457195,0.523374318,48,8,0.3,0.01,0.003082876
117,0.520673953,0.518975407,48,8,0.3,0.001,0.001698545
118,0.51917122,0.517918943,48,8,0.4,0.01,0.001252278
119,0.524134791,0.520022766,48,8,0.4,0.001,0.004112024
120,0.531967213,0.525833333,48,32,0.1,0.01,0.006133881
121,0.532058288,0.52534153,48,32,0.1,0.001,0.006716757
122,0.52654827,0.522650273,48,32,0.2,0.01,0.003897997
123,0.532650273,0.524353372,48,32,0.2,0.001,0.008296901
124,0.525728597,0.521452642,48,32,0.3,0.01,0.004275956
125,0.530510018,0.524125685,48,32,0.3,0.001,0.006384333
126,0.528825137,0.522536429,48,32,0.4,0.01,0.006288708
127,0.531876138,0.522622951,48,32,0.4,0.001,0.009253188
127,0.52568306,0.525004553,48,65,0.1,0.001,0.000678507
128,0.530327869,0.519640257,48,65,0.1,0.01,0.010687612
128,0.525956284,0.524836065,48,65,0.2,0.01,0.001120219
129,0.535336976,0.527381603,48,65,0.2,0.001,0.007955374
130,0.516484517,0.516302368,48,65,0.3,0.01,0.000182149
131,0.529052823,0.525446267,48,65,0.3,0.001,0.003606556
132,0.51575592,0.512331511,48,65,0.4,0.01,0.003424408
133,0.532103825,0.524635702,48,65,0.4,0.001,0.007468123
134,0.513979964,0.511648449,48,128,0.1,0.01,0.002331514
135,0.528324226,0.526835153,48,128,0.1,0.001,0.001489073
136,0.505327869,0.508392533,48,128,0.2,0.01,-0.003064665
137,0.535701275,0.528747724,48,128,0.2,0.001,0.006953551
138,0.520081967,0.511484516,48,128,0.3,0.01,0.008597452
139,0.530692168,0.524553731,48,128,0.3,0.001,0.006138436
140,0.498816029,0.505387067,48,128,0.4,0.01,-0.006571038
141,0.530874317,0.526352459,48,128,0.4,0.001,0.004521857
142,0.513093066,0.507417883,96,2,0.1,0.01,0.005675183
143,0.516605839,0.511085765,96,2,0.1,0.001,0.005520074
144,0.519160584,0.513275543,96,2,0.2,0.01,0.005885041
145,0.520939781,0.514046533,96,2,0.2,0.001,0.006893248
146,0.521487226,0.512604925,96,2,0.3,0.01,0.008882301
147,0.51879562,0.513731753,96,2,0.3,0.001,0.005063868
148,0.517335766,0.511441605,96,2,0.4,0.01,0.005894162
149,0.513001825,0.510757301,96,2,0.4,0.001,0.002244524
150,0.529607664,0.522290145,96,8,0.1,0.01,0.007317519
151,0.529744526,0.524479924,96,8,0.1,0.001,0.005264601
152,0.530520073,0.522901458,96,8,0.2,0.01,0.007618615
153,0.531569343,0.520693429,96,8,0.2,0.001,0.010875914
154,0.528877737,0.520962592,96,8,0.3,0.01,0.007915145
155,0.526642336,0.518061131,96,8,0.3,0.001,0.008581205
156,0.521304745,0.519019158,96,8,0.4,0.01,0.002285586
